,year,month,intent,police,sex,age,race,place,education
53,2012,6,Undetermined,0,F,26.0,Native American/Native Alaskan,Home,Less than HS
54,2012,7,Suicide,0,M,21.0,White,Home,HS/GED
55,2012,7,Suicide,0,M,61.0,White,Other specified,BA+
56,2012,7,Accidental,0,M,12.0,Black,Home,Less than HS
58,2012,7,Suicide,0,M,57.0,White,Home,HS/GED
60,2012,7,Suicide,0,M,22.0,White,Home,HS/GED
62,2012,8,Suicide,0,M,20.0,White,Home,Some college
63,2012,7,Suicide,0,F,50.0,White,Home,HS/GED
64,2012,7,Suicide,0,M,25.0,White,Home,HS/GED
65,2012,8,Suicide,0,M,34.0,White,Other specified,HS/GED
66,2012,8,Suicide,0,F,23.0,Native American/Native Alaskan,Home,Some college
67,2012,8,Suicide,0,M,34.0,White,Other specified,BA+
68,2012,8,Suicide,0,M,60.0,White,Other specified,BA+
69,2012,8,Suicide,0,M,26.0,Native American/Native Alaskan,Other specified,Less than HS
70,2012,8,Suicide,0,F,62.0,White,Home,BA+
71,2012,8,Accidental,0,M,71.0,White,Home,Some college
72,2012,8,Suicide,0,F,44.0,White,Home,Some college
73,2012,9,Accidental,0,M,26.0,White,Home,HS/GED
74,2012,9,Suicide,0,M,39.0,White,Other specified,HS/GED
75,2012,9,Undetermined,0,M,26.0,Native American/Native Alaskan,Home,Some college
76,2012,9,Suicide,0,M,57.0,White,Home,HS/GED
77,2012,9,Suicide,0,M,29.0,Asian/Pacific Islander,Home,HS/GED
78,2012,9,Suicide,0,M,24.0,White,Home,HS/GED
80,2012,9,Suicide,0,F,50.0,Native American/Native Alaskan,Home,BA+
81,2012,9,Suicide,0,M,61.0,White,Home,HS/GED
84,2012,9,Suicide,0,M,28.0,White,Other specified,HS/GED
86,2012,9,Suicide,0,M,77.0,White,Home,BA+
87,2012,9,Suicide,0,M,17.0,White,Other specified,HS/GED
88,2012,10,Suicide,0,M,25.0,Black,Other specified,HS/GED
89,2012,10,Suicide,0,M,22.0,Native American/Native Alaskan,Other specified,Less than HS
90,2012,9,Undetermined,0,F,22.0,White,Other specified,BA+
91,2012,10,Suicide,0,M,18.0,White,Home,Less than HS
93,2012,9,Accidental,0,F,19.0,Hispanic,Other unspecified,HS/GED
94,2012,10,Suicide,0,M,61.0,White,Other specified,HS/GED
95,2012,10,Suicide,0,M,71.0,White,Home,HS/GED
96,2012,10,Suicide,0,M,36.0,White,Home,Less than HS
98,2012,10,Suicide,0,M,49.0,White,Other specified,Some college
99,2012,9,Undetermined,0,M,19.0,White,Home,Less than HS
100,2012,11,Suicide,0,M,13.0,Native American/Native Alaskan,Home,Less than HS
101,2012,10,Suicide,0,M,20.0,White,Home,Some college
102,2012,11,Suicide,0,M,30.0,Hispanic,Home,Some college
104,2012,11,Suicide,0,F,51.0,White,Home,Less than HS
105,2012,11,Suicide,0,M,33.0,Black,Other specified,Some college
106,2012,11,Suicide,0,M,20.0,White,Other specified,HS/GED
107,2012,11,Suicide,0,M,50.0,White,Home,HS/GED
108,2012,11,Suicide,0,F,48.0,Native American/Native Alaskan,Home,Some college
109,2012,11,Suicide,0,M,21.0,Native American/Native Alaskan,Home,HS/GED
110,2012,11,Suicide,0,M,43.0,White,Other specified,HS/GED
111,2012,12,Suicide,0,M,21.0,White,Other specified,HS/GED
112,2012,12,Suicide,0,M,51.0,White,Home,HS/GED
113,2012,11,Suicide,0,M,90.0,White,Home,Less than HS
114,2012,12,Suicide,0,F,33.0,Native American/Native Alaskan,Home,Less than HS
115,2012,12,Suicide,0,M,43.0,Black,Home,Some college
117,2012,11,Suicide,0,M,24.0,Native American/Native Alaskan,Home,Less than HS
118,2012,12,Suicide,0,M,63.0,Asian/Pacific Islander,Other specified,Some college
119,2012,12,Suicide,0,M,46.0,White,Other unspecified,HS/GED
120,2012,12,Suicide,0,M,32.0,White,Home,Less than HS
121,2012,12,Suicide,0,M,84.0,White,Other unspecified,BA+
122,2012,10,Suicide,0,M,68.0,White,Other specified,HS/GED
123,2012,12,Suicide,0,M,13.0,Black,Home,Less than HS
124,2012,12,Suicide,0,F,89.0,White,Home,BA+
126,2012,12,Undetermined,0,M,28.0,White,Home,Some college
127,2012,12,Suicide,0,M,48.0,White,Other specified,HS/GED
128,2012,12,Suicide,0,M,39.0,Native American/Native Alaskan,Home,HS/GED
129,2012,12,Suicide,0,M,43.0,White,Home,Some college
130,2012,12,Accidental,0,F,31.0,White,Other specified,Some college
131,2012,12,Suicide,0,M,46.0,White,Home,HS/GED
132,2012,12,Suicide,0,M,33.0,White,Home,HS/GED
133,2012,12,Undetermined,0,F,31.0,White,Home,Some college
134,2012,1,Suicide,0,F,59.0,White,Home,HS/GED
135,2012,1,Suicide,0,F,30.0,White,Other unspecified,BA+
137,2012,1,Suicide,0,M,78.0,White,Home,BA+
138,2012,1,Suicide,0,M,60.0,White,Other unspecified,Less than HS
139,2012,1,Accidental,0,M,61.0,White,Home,HS/GED
141,2012,1,Suicide,0,M,66.0,White,Home,HS/GED
142,2012,1,Suicide,0,M,52.0,White,Other unspecified,HS/GED
143,2012,1,Suicide,0,M,63.0,White,Home,Some college
144,2012,1,Suicide,0,M,40.0,White,Home,BA+
146,2012,1,Suicide,0,M,57.0,White,Other unspecified,HS/GED
147,2012,1,Undetermined,0,M,81.0,White,Home,HS/GED
148,2012,1,Suicide,0,M,63.0,White,Other unspecified,BA+
149,2012,1,Suicide,0,M,54.0,White,Other unspecified,Less than HS
150,2012,1,Suicide,0,M,46.0,White,Other unspecified,HS/GED
152,2012,1,Suicide,0,M,59.0,White,Home,BA+
153,2012,1,Suicide,0,M,31.0,Black,Other unspecified,Some college
154,2012,1,Suicide,0,M,64.0,Black,Home,HS/GED
155,2012,1,Suicide,0,F,36.0,White,Other unspecified,HS/GED
158,2012,1,Suicide,0,M,47.0,White,Other specified,HS/GED
160,2012,1,Suicide,0,M,55.0,White,Other specified,BA+
165,2012,1,Suicide,0,M,49.0,Black,Other unspecified,BA+
167,2012,1,Suicide,0,M,68.0,Black,Other unspecified,Some college
168,2012,1,Undetermined,0,M,45.0,White,Home,HS/GED
170,2012,1,Suicide,0,M,37.0,Black,Home,HS/GED
171,2012,2,Suicide,0,M,37.0,White,Home,HS/GED
173,2012,1,Suicide,0,M,60.0,White,Other unspecified,HS/GED
174,2012,1,Suicide,0,F,53.0,White,Home,Some college
177,2012,2,Suicide,0,M,47.0,White,Other unspecified,HS/GED
178,2012,1,Suicide,0,M,25.0,White,Home,Some college
180,2012,2,Suicide,0,M,43.0,White,Other unspecified,Some college
181,2012,1,Suicide,0,M,41.0,Black,Home,HS/GED
183,2012,2,Suicide,0,M,39.0,White,Other unspecified,Less than HS
186,2012,2,Suicide,0,M,30.0,White,Other unspecified,Some college
193,2012,2,Suicide,0,M,50.0,White,Home,HS/GED
195,2012,2,Suicide,0,M,46.0,White,Other unspecified,Some college
199,2012,2,Suicide,0,M,42.0,White,Other unspecified,HS/GED
202,2012,1,Suicide,0,M,25.0,White,Home,HS/GED
203,2012,2,Suicide,0,M,60.0,White,Other unspecified,Some college
204,2012,2,Suicide,0,M,47.0,Black,Street,HS/GED
207,2012,2,Suicide,0,M,22.0,White,Home,Less than HS
209,2012,2,Suicide,0,M,58.0,White,Other unspecified,Some college
210,2012,1,Suicide,0,M,67.0,Black,Home,BA+
213,2012,2,Suicide,0,M,69.0,White,Home,HS/GED
214,2012,2,Suicide,0,M,84.0,White,Other unspecified,Some college
217,2012,2,Suicide,0,M,20.0,White,Home,Some college
218,2012,2,Suicide,0,M,48.0,White,Home,BA+
219,2012,2,Suicide,0,M,54.0,White,Home,HS/GED
220,2012,2,Suicide,0,F,37.0,White,Other unspecified,Some college
221,2012,1,Suicide,0,M,56.0,White,Home,HS/GED
223,2012,2,Suicide,0,F,20.0,White,Other specified,Some college
224,2012,2,Suicide,0,M,72.0,Black,Home,Less than HS
225,2012,1,Suicide,0,M,55.0,White,Home,HS/GED
226,2012,2,Suicide,0,M,35.0,White,Home,Some college
227,2012,1,Suicide,0,F,17.0,White,Other unspecified,Less than HS
228,2012,3,Suicide,0,M,37.0,White,Home,HS/GED
231,2012,2,Suicide,0,M,82.0,White,Home,Some college
232,2012,2,Accidental,0,M,25.0,White,Other unspecified,BA+
234,2012,2,Suicide,0,M,38.0,White,Home,Some college
235,2012,3,Suicide,0,M,49.0,Black,Other unspecified,HS/GED
236,2012,3,Suicide,0,M,36.0,Black,Home,BA+
237,2012,2,Suicide,0,M,29.0,White,Other unspecified,Some college
238,2012,2,Suicide,0,M,75.0,White,Other unspecified,HS/GED
239,2012,3,Suicide,0,M,57.0,White,Home,Less than HS
240,2012,2,Suicide,0,M,49.0,Black,Other unspecified,HS/GED
241,2012,3,Suicide,0,M,73.0,White,Other unspecified,HS/GED
242,2012,2,Suicide,0,M,53.0,White,Home,Less than HS
243,2012,3,Suicide,0,F,24.0,White,Other unspecified,BA+
245,2012,3,Suicide,0,M,52.0,White,Home,Some college
246,2012,3,Suicide,0,M,81.0,White,Home,HS/GED
248,2012,2,Suicide,0,M,32.0,Black,Other unspecified,Less than HS
250,2012,2,Suicide,0,F,65.0,White,Home,HS/GED
253,2012,3,Suicide,0,M,49.0,White,Home,BA+
254,2012,3,Suicide,0,M,51.0,White,Other unspecified,Some college
256,2012,3,Suicide,0,M,62.0,White,Trade/service area,BA+
257,2012,3,Suicide,0,M,33.0,Hispanic,Home,HS/GED
258,2012,3,Suicide,0,M,78.0,White,Other unspecified,BA+
259,2012,2,Suicide,0,M,58.0,White,Home,Some college
260,2012,3,Suicide,0,M,34.0,White,Other specified,Some college
261,2012,1,Suicide,0,M,82.0,White,Other unspecified,HS/GED
262,2012,3,Undetermined,0,M,23.0,Black,Other unspecified,HS/GED
263,2012,3,Suicide,0,M,83.0,White,Other unspecified,Some college
264,2012,2,Suicide,0,M,50.0,Black,Home,Less than HS
265,2012,3,Suicide,0,M,13.0,White,Home,Less than HS
267,2012,3,Suicide,0,M,30.0,White,Home,HS/GED
268,2012,3,Suicide,0,M,63.0,White,Other specified,HS/GED
269,2012,3,Suicide,0,M,64.0,White,Street,Some college
270,2012,3,Suicide,0,M,40.0,White,Trade/service area,BA+
271,2012,3,Suicide,0,M,42.0,White,Other unspecified,Some college
275,2012,3,Suicide,0,M,49.0,White,Street,Less than HS
276,2012,3,Suicide,0,M,37.0,White,Other unspecified,HS/GED
277,2012,2,Suicide,0,M,83.0,White,Home,Some college
278,2012,3,Suicide,0,F,54.0,White,Home,HS/GED
279,2012,4,Suicide,0,M,72.0,White,Home,BA+
280,2012,3,Suicide,0,M,74.0,White,Home,Some college
282,2012,3,Suicide,0,M,34.0,Black,Home,HS/GED
283,2012,4,Suicide,0,M,74.0,White,Home,HS/GED
285,2012,3,Suicide,0,M,46.0,White,Home,BA+
286,2012,3,Suicide,0,M,48.0,Black,Home,Less than HS
287,2012,3,Suicide,0,M,55.0,White,Home,Less than HS
288,2012,3,Suicide,0,M,48.0,White,Other unspecified,Less than HS
289,2012,3,Accidental,0,M,17.0,Black,Home,Less than HS
290,2012,3,Suicide,0,M,26.0,White,Other unspecified,HS/GED
292,2012,3,Suicide,0,M,40.0,White,Other unspecified,HS/GED
293,2012,3,Suicide,0,M,42.0,Black,Trade/service area,HS/GED
294,2012,3,Suicide,0,M,48.0,Black,Other unspecified,Some college
298,2012,3,Suicide,0,M,23.0,White,Other unspecified,HS/GED
299,2012,4,Suicide,0,M,23.0,White,Home,HS/GED
300,2012,4,Suicide,0,M,49.0,White,Home,BA+
301,2012,4,Suicide,0,M,30.0,White,Other specified,BA+
302,2012,4,Suicide,0,M,64.0,White,Home,HS/GED
303,2012,3,Suicide,0,M,47.0,White,Other unspecified,BA+
305,2012,3,Suicide,0,M,68.0,White,Other unspecified,BA+
306,2012,3,Suicide,0,M,27.0,White,Trade/service area,HS/GED
307,2012,3,Suicide,0,M,29.0,Black,Home,Some college
309,2012,4,Suicide,0,F,40.0,White,Home,Some college
310,2012,4,Suicide,0,M,41.0,White,Home,HS/GED
313,2012,4,Suicide,0,M,19.0,White,Other unspecified,Less than HS
314,2012,3,Suicide,0,M,52.0,White,Home,HS/GED
315,2012,4,Suicide,0,M,75.0,White,Home,Less than HS
316,2012,3,Suicide,0,M,21.0,White,Other unspecified,Some college
317,2012,4,Accidental,0,M,24.0,White,Other unspecified,HS/GED
318,2012,4,Suicide,0,M,37.0,White,Home,HS/GED
319,2012,4,Suicide,0,F,37.0,White,Home,Some college
321,2012,4,Suicide,0,M,53.0,White,Home,HS/GED
322,2012,3,Suicide,0,M,43.0,Black,Home,BA+
323,2012,3,Suicide,0,F,43.0,White,Other specified,Some college
324,2012,4,Suicide,0,M,28.0,White,Other unspecified,HS/GED
326,2012,3,Suicide,0,M,54.0,White,Home,BA+
327,2012,4,Suicide,0,M,86.0,White,Home,Less than HS
328,2012,4,Suicide,0,M,37.0,White,Home,Less than HS
330,2012,4,Suicide,0,F,46.0,White,Home,Some college
331,2012,4,Suicide,0,M,54.0,White,Home,Less than HS
332,2012,4,Suicide,0,M,52.0,White,Home,Some college
334,2012,4,Suicide,0,F,40.0,White,Other specified,BA+
336,2012,4,Suicide,0,M,22.0,White,Other unspecified,Less than HS
337,2012,4,Suicide,0,F,69.0,White,Home,HS/GED
338,2012,4,Suicide,0,M,47.0,White,Other unspecified,BA+
339,2012,4,Suicide,0,F,32.0,White,Home,Less than HS
340,2012,4,Suicide,0,M,21.0,White,Home,HS/GED
342,2012,4,Suicide,0,M,63.0,White,Home,HS/GED
344,2012,4,Suicide,0,M,72.0,White,Home,Less than HS
345,2012,3,Suicide,0,M,57.0,Black,Home,BA+
347,2012,4,Suicide,0,M,69.0,White,Home,BA+
348,2012,4,Suicide,0,M,50.0,White,Home,Some college
349,2012,4,Suicide,0,M,40.0,White,Home,HS/GED
351,2012,4,Suicide,0,M,40.0,White,Other unspecified,HS/GED
352,2012,3,Suicide,0,M,28.0,Black,Other unspecified,HS/GED
354,2012,4,Accidental,0,M,53.0,Black,Other unspecified,HS/GED
355,2012,4,Suicide,0,M,16.0,White,Home,Less than HS
356,2012,4,Suicide,0,F,29.0,Black,Street,Some college
357,2012,4,Suicide,0,F,48.0,White,Street,BA+
358,2012,4,Suicide,0,M,32.0,Black,Home,HS/GED
359,2012,4,Undetermined,0,M,20.0,Black,Home,Less than HS
361,2012,4,Suicide,0,M,39.0,White,Street,Less than HS
362,2012,4,Suicide,0,M,19.0,White,Home,HS/GED
364,2012,5,Accidental,0,M,63.0,White,Home,Less than HS
369,2012,5,Suicide,0,M,75.0,Black,Home,HS/GED
372,2012,4,Suicide,0,M,18.0,White,Home,Less than HS
373,2012,5,Suicide,0,M,84.0,White,Home,HS/GED
374,2012,5,Suicide,0,M,29.0,White,Home,HS/GED
375,2012,5,Suicide,0,M,20.0,Black,Other unspecified,Some college
376,2012,5,Suicide,0,M,18.0,White,Home,Less than HS
378,2012,5,Suicide,0,M,50.0,White,Home,HS/GED
379,2012,5,Suicide,0,M,36.0,White,Street,Some college
380,2012,5,Suicide,0,M,88.0,White,Home,HS/GED
381,2012,5,Suicide,0,M,29.0,White,Home,Less than HS
382,2012,5,Suicide,0,M,87.0,White,Home,BA+
385,2012,5,Suicide,0,M,40.0,White,Home,Some college
387,2012,5,Suicide,0,M,58.0,White,Street,BA+
388,2012,5,Suicide,0,M,25.0,White,Home,Some college
389,2012,5,Suicide,0,M,34.0,White,Other specified,BA+
390,2012,5,Suicide,0,M,26.0,White,Home,HS/GED
391,2012,5,Suicide,0,F,44.0,White,Street,Less than HS
393,2012,5,Suicide,0,M,74.0,White,Other unspecified,BA+
394,2012,5,Suicide,0,M,82.0,White,Other unspecified,Some college
396,2012,5,Suicide,0,M,61.0,White,Sports,BA+
397,2012,5,Suicide,0,M,44.0,White,Home,BA+
398,2012,5,Suicide,0,M,34.0,White,Home,HS/GED
399,2012,5,Suicide,0,M,58.0,White,Other specified,BA+
400,2012,5,Suicide,0,M,74.0,White,Home,HS/GED
401,2012,5,Suicide,0,M,67.0,White,Home,HS/GED
402,2012,5,Suicide,0,M,73.0,White,Home,HS/GED
403,2012,5,Suicide,0,M,55.0,White,Home,HS/GED
404,2012,4,Suicide,0,F,55.0,White,Home,HS/GED
405,2012,5,Suicide,0,M,22.0,Black,Home,Less than HS
407,2012,6,Suicide,0,M,40.0,White,Home,Some college
408,2012,6,Suicide,0,M,25.0,White,Home,HS/GED
409,2012,5,Suicide,0,M,52.0,White,Home,Less than HS
410,2012,6,Suicide,0,M,47.0,White,Other unspecified,Some college
413,2012,4,Suicide,0,M,23.0,White,Other unspecified,HS/GED
414,2012,6,Suicide,0,M,17.0,Black,Home,Less than HS
415,2012,5,Suicide,0,F,69.0,White,Home,HS/GED
419,2012,5,Suicide,0,M,78.0,White,Home,Some college
420,2012,6,Suicide,0,M,68.0,White,Home,BA+
422,2012,6,Suicide,0,M,55.0,White,Home,HS/GED
423,2012,5,Suicide,0,M,30.0,White,Other unspecified,Some college
425,2012,5,Suicide,0,M,64.0,White,Home,BA+
426,2012,6,Suicide,0,M,45.0,White,Home,HS/GED
427,2012,5,Suicide,0,M,60.0,White,Home,Some college
428,2012,5,Accidental,0,F,20.0,Black,Home,Less than HS
429,2012,5,Suicide,0,M,60.0,White,Home,HS/GED
430,2012,5,Suicide,0,F,30.0,White,Home,Some college
433,2012,5,Suicide,0,M,34.0,Black,Street,Some college
434,2012,5,Suicide,0,M,26.0,Black,Home,HS/GED
435,2012,5,Suicide,0,M,64.0,White,Home,HS/GED
436,2012,5,Suicide,0,M,48.0,White,Home,Less than HS
437,2012,6,Suicide,0,F,39.0,White,Home,HS/GED
439,2012,6,Suicide,0,M,63.0,White,Home,Less than HS
444,2012,6,Suicide,0,M,55.0,White,Home,Less than HS
446,2012,6,Suicide,0,M,82.0,White,Home,BA+
448,2012,4,Suicide,0,F,36.0,White,Other unspecified,Some college
449,2012,6,Suicide,0,M,49.0,White,Home,BA+
450,2012,6,Suicide,0,M,43.0,White,Home,HS/GED
452,2012,6,Suicide,0,M,80.0,White,Home,BA+
453,2012,6,Suicide,0,M,63.0,White,Home,Some college
454,2012,6,Suicide,0,F,28.0,White,Other unspecified,HS/GED
455,2012,6,Suicide,0,M,35.0,White,Other unspecified,Less than HS
457,2012,5,Suicide,0,F,45.0,White,Home,Less than HS
461,2012,6,Suicide,0,F,48.0,White,Home,BA+
462,2012,5,Accidental,0,F,25.0,White,Other unspecified,Some college
463,2012,6,Suicide,0,M,58.0,White,Home,HS/GED
464,2012,6,Suicide,0,M,65.0,White,Home,Some college
465,2012,6,Suicide,0,M,20.0,White,Street,HS/GED
466,2012,6,Suicide,0,M,60.0,White,Home,Some college
467,2012,6,Suicide,0,M,66.0,White,Home,HS/GED
468,2012,6,Suicide,0,M,75.0,White,Home,Less than HS
471,2012,5,Suicide,0,M,56.0,White,Home,Some college
474,2012,6,Suicide,0,M,69.0,White,Home,BA+
478,2012,6,Suicide,0,M,19.0,White,Home,HS/GED
480,2012,6,Suicide,0,F,61.0,White,Home,Some college
481,2012,7,Suicide,0,M,65.0,White,Home,HS/GED
482,2012,6,Suicide,0,M,72.0,White,Home,HS/GED
485,2012,6,Suicide,0,M,39.0,White,Other unspecified,HS/GED
487,2012,7,Suicide,0,M,29.0,White,Home,Some college
488,2012,5,Suicide,0,M,37.0,White,Other specified,Some college
489,2012,7,Suicide,0,M,66.0,White,Home,BA+
490,2012,6,Suicide,0,M,75.0,White,Street,HS/GED
492,2012,6,Suicide,0,F,51.0,White,Home,BA+
498,2012,6,Suicide,0,M,56.0,White,Home,HS/GED
499,2012,7,Suicide,0,M,29.0,White,Home,HS/GED
501,2012,7,Suicide,0,M,79.0,White,Home,HS/GED
503,2012,7,Suicide,0,M,17.0,White,Home,Less than HS
505,2012,7,Suicide,0,M,69.0,White,Home,Less than HS
506,2012,7,Suicide,0,M,18.0,White,Home,Some college
507,2012,7,Suicide,0,M,45.0,White,Home,HS/GED
509,2012,6,Suicide,0,M,48.0,Black,Trade/service area,HS/GED
511,2012,6,Suicide,0,F,54.0,White,Home,HS/GED
513,2012,7,Suicide,0,M,50.0,White,Home,Less than HS
515,2012,7,Suicide,0,M,81.0,White,Other unspecified,Some college
516,2012,7,Suicide,0,F,49.0,White,Home,HS/GED
517,2012,6,Suicide,0,M,44.0,White,Home,BA+
518,2012,7,Suicide,0,M,80.0,White,Home,BA+
520,2012,7,Suicide,0,M,52.0,White,Street,HS/GED
521,2012,7,Suicide,0,M,54.0,White,Home,HS/GED
522,2012,7,Suicide,0,F,41.0,White,Home,Some college
523,2012,6,Suicide,0,M,81.0,White,Home,Less than HS
524,2012,7,Suicide,0,M,91.0,White,Home,HS/GED
526,2012,6,Suicide,0,M,40.0,White,Home,HS/GED
528,2012,6,Suicide,0,M,17.0,White,Home,Less than HS
530,2012,7,Suicide,0,M,28.0,White,Home,Some college
532,2012,7,Suicide,0,M,48.0,White,Home,HS/GED
533,2012,7,Suicide,0,M,27.0,White,Home,Some college
535,2012,7,Suicide,0,M,56.0,White,Home,HS/GED
536,2012,6,Suicide,0,F,37.0,White,Home,Some college
537,2012,7,Suicide,0,M,73.0,White,Home,Less than HS
539,2012,7,Suicide,0,M,27.0,White,Home,BA+
540,2012,7,Suicide,0,M,40.0,White,Home,HS/GED
541,2012,7,Suicide,0,M,43.0,White,Home,HS/GED
542,2012,7,Suicide,0,M,45.0,White,Home,Some college
543,2012,7,Accidental,0,M,59.0,White,Other unspecified,HS/GED
544,2012,7,Suicide,0,M,66.0,White,Home,HS/GED
545,2012,7,Suicide,0,M,65.0,Black,Home,HS/GED
546,2012,6,Suicide,0,M,33.0,Asian/Pacific Islander,Other unspecified,Some college
548,2012,7,Suicide,0,M,71.0,White,Home,HS/GED
549,2012,7,Suicide,0,M,38.0,White,Street,Less than HS
550,2012,8,Suicide,0,F,52.0,White,Home,Some college
551,2012,8,Suicide,0,M,89.0,White,Home,HS/GED
553,2012,6,Suicide,0,M,57.0,White,Home,Some college
556,2012,8,Suicide,0,M,89.0,White,Home,BA+
557,2012,7,Suicide,0,M,20.0,White,Home,HS/GED
558,2012,7,Suicide,0,F,38.0,White,Home,BA+
560,2012,7,Accidental,0,M,53.0,White,Home,HS/GED
562,2012,8,Suicide,0,M,79.0,White,Home,Some college
565,2012,8,Suicide,0,M,49.0,White,Home,HS/GED
569,2012,7,Suicide,0,F,49.0,White,Other unspecified,HS/GED
570,2012,8,Suicide,0,F,48.0,White,Home,HS/GED
571,2012,8,Suicide,0,M,64.0,White,Home,HS/GED
572,2012,8,Suicide,0,M,65.0,White,Home,Some college
573,2012,8,Suicide,0,M,61.0,White,Trade/service area,HS/GED
576,2012,7,Suicide,0,F,31.0,White,Other unspecified,Less than HS
578,2012,7,Suicide,0,M,83.0,White,Home,Less than HS
579,2012,8,Suicide,0,M,29.0,White,Home,Less than HS
581,2012,8,Suicide,0,F,46.0,White,Home,Less than HS
583,2012,8,Suicide,0,M,84.0,Black,Home,HS/GED
584,2012,7,Suicide,0,F,48.0,Black,Home,HS/GED
585,2012,7,Suicide,0,M,41.0,White,Other unspecified,Some college
586,2012,8,Suicide,0,M,58.0,White,Other specified,Less than HS
587,2012,8,Suicide,0,F,31.0,White,Other specified,Some college
588,2012,8,Suicide,0,F,65.0,White,Home,HS/GED
589,2012,8,Suicide,0,M,52.0,White,Home,Less than HS
591,2012,7,Suicide,0,M,75.0,White,Home,HS/GED
593,2012,8,Suicide,0,M,17.0,Black,Home,HS/GED
594,2012,8,Suicide,0,M,52.0,White,Home,BA+
595,2012,8,Suicide,0,M,55.0,White,Home,Less than HS
596,2012,8,Suicide,0,F,49.0,White,Home,HS/GED
598,2012,7,Suicide,0,M,65.0,White,Home,Less than HS
599,2012,8,Suicide,0,M,63.0,White,Other unspecified,Less than HS
600,2012,8,Suicide,0,F,53.0,Black,Home,Less than HS
601,2012,8,Suicide,0,M,77.0,White,Home,BA+
602,2012,8,Suicide,0,M,52.0,White,Street,Some college
605,2012,8,Suicide,0,M,61.0,White,Other unspecified,Less than HS
606,2012,7,Suicide,0,F,27.0,White,Home,BA+
608,2012,8,Suicide,0,M,73.0,White,Street,BA+
609,2012,8,Suicide,0,M,23.0,White,Home,HS/GED
610,2012,8,Accidental,0,M,61.0,White,Home,Less than HS
611,2012,8,Suicide,0,M,82.0,White,Home,HS/GED
612,2012,8,Suicide,0,M,28.0,White,Home,HS/GED
613,2012,8,Suicide,0,M,22.0,White,Home,BA+
615,2012,8,Suicide,0,M,64.0,Black,Home,HS/GED
617,2012,8,Suicide,0,M,55.0,White,Home,Some college
618,2012,8,Suicide,0,F,62.0,White,Home,Less than HS
620,2012,7,Suicide,0,M,63.0,White,Home,Less than HS
621,2012,8,Suicide,0,M,29.0,White,Street,HS/GED
622,2012,9,Suicide,0,M,47.0,White,Home,HS/GED
623,2012,8,Suicide,0,F,78.0,White,Home,Less than HS
624,2012,8,Suicide,0,M,24.0,White,School/instiution,HS/GED
625,2012,8,Suicide,0,M,65.0,White,Home,HS/GED
